8.100750721783974706e-01,4.687965677642467743e-01,6.047122140076347518e-01,7.926159023148509064e-01,8.388628612660510298e-01,5.869732690656436214e-01,8.201077210766419823e-01,4.704740383349527710e-01,4.154545701106899247e-01,8.961037776445605063e-01,4.599718262100893074e-01
8.116590721783975004e-01,4.711845677642467756e-01,6.022542140076347916e-01,7.951119023148509601e-01,8.403568612660510251e-01,5.843792690656436362e-01,8.214637210766420061e-01,4.682260383349527433e-01,4.177465701106899409e-01,8.974677776445605382e-01,4.623238262100893281e-01
8.130990721783974973e-01,4.737445677642467823e-01,5.996882140076348344e-01,7.974719023148509889e-01,8.418548612660510244e-01,5.816532690656436300e-01,8.230377210766419704e-01,4.655500383349527316e-01,4.201205701106899282e-01,8.988657776445605485e-01,4.644978262100893374e-01
8.146470721783974911e-01,4.762665677642468065e-01,5.968662140076348432e-01,8.000839023148509366e-01,8.434528612660510127e-01,5.789052690656436573e-01,8.247097210766419773e-01,4.629900383349527249e-01,4.226485701106899029e-01,9.004777776445604953e-01,4.669618262100893591e-01
8.162770721783975114e-01,4.790205677642467852e-01,5.940282140076348361e-01,8.027679023148509563e-01,8.451968612660509805e-01,5.761112690656436941e-01,8.262317210766420006e-01,4.601580383349527237e-01,4.254105701106898896e-01,9.022237776445605206e-01,4.696038262100893368e-01
8.180870721783974897e-01,4.817925677642467819e-01,5.908262140076347979e-01,8.055579023148509155e-01,8.468468612660510209e-01,5.731932690656437179e-01,8.279437210766420474e-01,4.572380383349527455e-01,4.281645701106898683e-01,9.038657776445605530e-01,4.723938262100893515e-01
8.198490721783975310e-01,4.846025677642467611e-01,5.876602140076347958e-01,8.083299023148509121e-01,8.484868612660509957e-01,5.700512690656437398e-01,8.296597210766420982e-01,4.541640383349527244e-01,4.308365701106898760e-01,9.057017776445605017e-01,4.751218262100893597e-01
8.216450721783975508e-01,4.876185677642467797e-01,5.843002140076347661e-01,8.113059023148508908e-01,8.503328612660510100e-01,5.669012690656437536e-01,8.315077210766420590e-01,4.509760383349527002e-01,4.338485701106898906e-01,9.075097776445605335e-01,4.781018262100893423e-01
8.235790721783975421e-01,4.908945677642467809e-01,5.809082140076348155e-01,8.143699023148508465e-01,8.521988612660510443e-01,5.631992690656437706e-01,8.334777210766420863e-01,4.475940383349527041e-01,4.371745701106898863e-01,9.094197776445605008e-01,4.811778262100893655e-01
8.255690721783975894e-01,4.943445677642467895e-01,5.771462140076347724e-01,8.175679023148508806e-01,8.542088612660510005e-01,5.595492690656437285e-01,8.353457210766420671e-01,4.437720383349527120e-01,4.404205701106899129e-01,9.114917776445604636e-01,4.845258262100893831e-01
