2.883635752065337510e+00,5.866515125834530942e+00,2.495623265083429576e+00,3.335581358060550894e+00,5.695710495755418989e+00,5.815590597455227773e+00,1.005439359325145610e+00,4.491976261991336372e+00
2.860229931393680314e+00,5.877949945945014854e+00,2.504699045297449800e+00,3.318852692419134165e+00,5.704173887189317504e+00,5.801213347140850018e+00,1.013362607058881038e+00,4.496071903035883999e+00
2.832077303261662848e+00,5.891379929920620206e+00,2.516060951628139364e+00,3.298173080299822590e+00,5.715275829968561538e+00,5.782351617442017755e+00,1.024154501021194985e+00,4.500762783170676684e+00
2.799570364158340929e+00,5.908442740207976662e+00,2.528667969863421572e+00,3.274302453947940617e+00,5.729692738314990486e+00,5.757512485771401067e+00,1.037504217783394855e+00,4.505364927185912194e+00
2.761844813589697800e+00,5.929697950766787962e+00,2.545130239838132802e+00,3.244887498339184440e+00,5.747183269250976778e+00,5.728174366844865695e+00,1.055620017464618199e+00,4.510879054176585079e+00
2.718065035025370779e+00,5.955934598126563451e+00,2.562833680833935368e+00,3.210178571197186415e+00,5.769066261361626147e+00,5.691913724837768029e+00,1.077505710728160038e+00,4.516371008477589655e+00
2.666108438284463311e+00,5.986813464135158469e+00,2.585059411525565398e+00,3.167310384227844278e+00,5.795789632323725904e+00,5.647261685770432749e+00,1.104899630109884789e+00,4.521853080572538985e+00
2.604903134163463196e+00,6.025072185662788016e+00,2.610645625345289655e+00,3.115449278792917109e+00,5.828298819553986654e+00,5.594453490748662716e+00,1.139533891634096019e+00,4.529168837147666160e+00
2.535747410343707653e+00,6.070553329708802792e+00,2.638705597426299398e+00,3.055250326250014581e+00,5.866507478057706670e+00,5.533398912137754699e+00,1.179936380800562956e+00,4.534484369177409491e+00
2.458512207976673913e+00,6.121646264085772060e+00,2.668951070152948191e+00,2.988618966813854971e+00,5.909077982680283725e+00,5.464945613247857992e+00,1.230961981612921363e+00,4.539608896108754621e+00
2.379834581596330878e+00,6.181076217052131838e+00,2.697608793492020318e+00,2.917389298696195787e+00,5.953651707410189786e+00,5.391173766978553772e+00,1.288382840470533974e+00,4.540989735222731305e+00
2.302544279345573042e+00,6.245771625754193757e+00,2.723782577066110377e+00,2.843285297335303330e+00,5.999245282613203223e+00,5.315783240954234046e+00,1.350723626156826285e+00,4.538976582530452220e+00
