1.000696999999999948e+00,9.990729999999999889e-01,9.992729999999999668e-01,1.000191999999999970e+00,9.999029999999999863e-01,9.999949999999999672e-01,1.000057999999999891e+00
1.001384000000000052e+00,9.980999999999999872e-01,9.985619999999999497e-01,1.000345999999999957e+00,9.997620000000000395e-01,9.999580000000000135e-01,1.000090999999999841e+00
1.002045000000000075e+00,9.971050000000000191e-01,9.977669999999999595e-01,1.000478999999999896e+00,9.996430000000000593e-01,9.999839999999999840e-01,1.000077999999999800e+00
1.002701000000000064e+00,9.961200000000000054e-01,9.970829999999999416e-01,1.000688999999999940e+00,9.995270000000000543e-01,1.000008000000000008e+00,1.000088999999999784e+00
1.003389000000000086e+00,9.951010000000000133e-01,9.963609999999999411e-01,1.000791999999999904e+00,9.994439999999999991e-01,1.000010000000000066e+00,1.000089999999999701e+00
1.004114000000000173e+00,9.940820000000000212e-01,9.956369999999999942e-01,1.000925999999999982e+00,9.993410000000000348e-01,9.999900000000000455e-01,1.000108999999999693e+00
1.004802000000000195e+00,9.930660000000000043e-01,9.948580000000000201e-01,1.001114000000000059e+00,9.992960000000000731e-01,9.999950000000000783e-01,1.000143999999999700e+00
1.005525000000000224e+00,9.919850000000000056e-01,9.940959999999999797e-01,1.001276000000000055e+00,9.992200000000001081e-01,9.999990000000000823e-01,1.000189999999999690e+00
1.006238000000000188e+00,9.909959999999999880e-01,9.933199999999999807e-01,1.001479000000000008e+00,9.991340000000000776e-01,1.000014000000000181e+00,1.000197999999999698e+00
1.006964000000000192e+00,9.899689999999999879e-01,9.925599999999999978e-01,1.001632000000000078e+00,9.990360000000000351e-01,9.999920000000002140e-01,1.000215999999999772e+00
1.007676000000000238e+00,9.888979999999999437e-01,9.917960000000000109e-01,1.001696000000000142e+00,9.989780000000000326e-01,9.999740000000002516e-01,1.000251999999999697e+00
1.008352000000000137e+00,9.878329999999999611e-01,9.910339999999999705e-01,1.001912000000000136e+00,9.988390000000000324e-01,9.999860000000002636e-01,1.000254999999999672e+00
1.009016000000000135e+00,9.866979999999999640e-01,9.902670000000000083e-01,1.002048000000000050e+00,9.987360000000000682e-01,9.999960000000002180e-01,1.000236999999999599e+00
1.009746000000000032e+00,9.856219999999999981e-01,9.895129999999999759e-01,1.002318000000000042e+00,9.986650000000000249e-01,9.999920000000002140e-01,1.000235999999999681e+00
1.010491999999999946e+00,9.845880000000000187e-01,9.887810000000000210e-01,1.002466000000000079e+00,9.985540000000000527e-01,1.000006000000000173e+00,1.000233999999999623e+00
